Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Education_Not Graduate
3,4342,189,124,360,1,1,1,0,1,0,0
2,5417,4196,267,360,1,1,1,0,0,0,0
0,3410,0,88,360,1,0,0,1,0,1,0
0,5000,0,132,360,1,1,1,0,1,0,1
1,2492,2375,146.41216216216216,360,1,1,0,0,0,0,0
0,2500,0,55,360,1,1,0,0,0,0,0
1,3596,0,100,240,1,1,1,0,1,0,0
0,2645,3440,120,360,0,1,1,0,1,0,0
0,3859,3300,142,180,1,1,0,0,0,0,1
1,4050,5302,138,360,1,1,1,1,0,0,0
0,2583,2358,120,360,1,1,1,0,0,1,0
1,5250,688,160,360,1,1,1,0,0,0,1
0,2483,2466,90,180,0,1,1,0,0,0,0
0,2764,1459,110,360,1,1,1,0,1,0,1
0,2130,6666,70,180,1,1,0,0,1,0,1
0,2927,2405,111,360,1,0,0,0,0,1,0
0,3250,0,170,360,1,0,0,0,0,0,0
0,2799,2253,122,360,1,1,0,0,0,1,1
0,10416,0,187,360,0,1,1,0,0,0,0
0,7200,0,120,360,1,1,1,0,0,0,0
0,1928,1644,100,360,1,1,1,0,0,1,0
0,6400,0,200,360,1,1,0,0,0,0,1
0,3667,1459,144,360,1,1,1,0,0,1,0
1,9538,0,187,360,1,1,1,0,0,0,0
0,3463,0,122,360,1,1,1,0,0,0,0
0,4750,0,94,360,1,0,0,0,0,0,0
0,3497,1964,116,360,1,1,1,0,1,0,0
3,3466,3428,150,360,1,1,1,0,0,1,0
0,20833,6667,480,360,1,1,1,0,0,1,0
0,4191,0,120,360,1,1,1,0,1,0,0
0,3074,1800,123,360,0,1,1,0,1,0,0
0,5503,4490,70,360,1,1,1,0,1,0,0
3,9357,0,292,360,1,1,1,0,1,0,0
2,7948,7166,480,360,1,1,0,0,1,0,0
1,10750,0,312,360,1,1,1,0,0,0,0
0,2500,0,67,360,1,1,1,1,1,0,1
0,2237,0,63,480,0,1,1,0,0,0,1
1,9833,1833,182,180,1,0,1,0,1,0,0
1,3089,1280,121,360,0,1,0,0,0,0,0
2,7667,0,185,360,1,1,1,0,1,0,1
0,3858,0,76,360,1,1,1,0,1,0,1
0,9166,0,244,360,1,1,1,0,0,0,0
1,3875,0,67,360,1,1,1,0,0,0,0
0,7333,8333,175,300,1,1,1,0,0,1,0
0,3159,0,100,360,1,1,1,1,0,0,0
3,4281,0,100,360,1,1,1,0,1,0,0
0,4652,3583,146.41216216216216,360,1,1,1,0,0,1,0
0,7441,0,194,360,1,1,1,1,1,0,0
3,5266,1774,187,360,1,0,0,0,0,0,1
0,1926,1851,50,360,1,0,0,0,0,1,0
2,6000,0,205,240,1,1,0,1,0,1,0
0,10408,0,259,360,1,1,1,0,0,1,0
2,2889,0,45,180,0,1,0,0,0,0,0
1,7250,1667,110,360,0,1,0,1,0,1,0
0,4625,2857,111,12,1,1,1,1,0,0,0
0,3975,2531,55,360,1,1,0,0,0,0,1
2,2583,2330,125,360,1,0,1,0,1,0,1
0,6822,0,141,360,1,0,1,0,1,0,0
3,2666,2083,95,360,1,1,1,0,1,0,0
0,4680,2087,146.41216216216216,360,1,1,0,0,0,1,0
2,4006,1526,168,360,1,1,1,0,0,1,1
3,9167,0,185,360,1,1,0,0,0,0,0
0,1828,1330,100,360,0,1,1,1,0,1,1
2,4200,1430,129,360,1,1,0,0,0,1,0
1,2661,7101,279,180,1,1,1,0,1,0,0
1,1625,1803,96,360,1,0,0,0,0,0,0
0,1963,0,53,360,1,1,0,0,0,1,0
2,3357,2859,144,360,1,1,0,0,0,0,0
0,2929,2333,139,360,1,1,1,0,0,1,0
0,6216,0,133,360,1,1,1,0,1,0,0
0,4817,923,120,180,1,1,1,0,1,0,0
0,5800,0,132,360,1,1,1,0,1,0,0
1,3481,0,155,36,1,1,0,0,0,1,0
0,2297,1522,104,360,1,1,1,0,0,0,1
1,4666,0,135,360,1,1,1,0,1,0,0
0,6277,0,118,360,0,1,1,0,0,0,0
2,4708,1387,150,360,1,0,0,0,1,0,0
0,1025,5500,216,360,1,1,0,0,0,0,0
1,3652,0,95,360,1,1,1,0,1,0,1
0,4166,7210,184,360,1,1,1,0,1,0,1
0,3539,1376,55,360,1,1,1,0,0,1,0
0,2400,1863,104,360,0,0,1,0,1,0,0
0,3416,2816,113,360,1,1,1,0,1,0,0
0,4350,0,154,360,1,1,1,0,0,0,0
0,5124,0,124,360,0,1,0,0,1,0,0
2,14866,0,70,360,1,1,1,0,0,0,1
2,3547,0,80,360,0,1,1,0,1,0,0
0,3017,663,102,360,1,1,1,0,0,0,1
1,1538,1425,30,360,1,1,1,0,0,1,0
0,3750,0,100,360,1,1,1,0,0,0,0
0,6333,4583,259,360,1,0,1,1,0,0,0
1,8666,4983,376,360,0,,,,,,
0,4547,0,115,360,1,,,,,,
2,2957,0,81,360,1,,,,,,
2,2031,1632,113,480,1,,,,,,
0,2484,2302,137,360,1,,,,,,
0,2698,2034,122,360,1,,,,,,
1,3315,0,96,360,1,,,,,,
0,3593,4266,132,180,0,,,,,,
0,1977,997,50,360,1,,,,,,
2,5185,0,155,360,1,,,,,,
3,15000,0,300,360,1,,,,,,
0,4100,0,124,360,1,,,,,,
0,5417,0,143,480,0,,,,,,
0,17263,0,225,360,1,,,,,,
0,2137,8980,137,360,0,,,,,,
1,33846,0,260,360,1,,,,,,
3,3992,0,146.41216216216216,180,1,,,,,,
0,3166,2985,132,360,1,,,,,,
2,9703,0,112,360,1,,,,,,
0,12876,0,405,360,1,,,,,,
0,5829,0,138,360,1,,,,,,
0,3597,2157,119,360,0,,,,,,
0,14880,0,96,360,1,,,,,,
0,2138,0,99,360,0,,,,,,
0,2500,20000,103,360,1,,,,,,
0,3692,0,93,360,1,,,,,,
0,3358,0,80,36,1,,,,,,
1,19484,0,600,360,1,,,,,,
0,7578,1010,175,360,1,,,,,,
1,4554,1229,158,360,1,,,,,,
2,4616,0,134,360,1,,,,,,
2,4283,2383,127,360,1,,,,,,
0,6080,2569,182,360,1,,,,,,
1,5468,1032,26,360,1,,,,,,
0,2213,0,66,360,1,,,,,,
1,5191,0,132,360,1,,,,,,
3,10139,0,260,360,1,,,,,,
3,81000,0,360,360,0,,,,,,
0,645,3683,113,480,1,,,,,,
1,2600,0,160,360,1,,,,,,
0,2346,1600,132,360,1,,,,,,
0,16120,0,260,360,1,,,,,,
0,2383,3334,172,360,1,,,,,,
3,4333,1811,160,360,0,,,,,,
2,2873,1872,132,360,0,,,,,,
0,2717,0,60,180,1,,,,,,
0,3572,4114,152,360,0,,,,,,
0,2333,1451,102,480,0,,,,,,
2,7583,0,187,360,1,,,,,,
1,3333,3250,158,360,1,,,,,,
0,6000,0,140,360,1,,,,,,
1,3062,1987,111,180,0,,,,,,
0,2473,1843,159,360,1,,,,,,
0,2577,3750,152,360,1,,,,,,
0,3583,0,96,360,1,,,,,,
0,8333,0,280,360,1,,,,,,
0,3762,1666,135,360,1,,,,,,
0,7901,1833,180,360,1,,,,,,
0,9323,0,75,180,1,,,,,,
0,2058,2134,88,360,1,,,,,,
0,4583,0,84,360,1,,,,,,
1,3867,0,62,360,1,,,,,,
0,1907,2365,120,360,1,,,,,,
2,6383,1000,187,360,1,,,,,,
0,14683,2100,304,360,1,,,,,,
0,3189,2598,120,360,1,,,,,,
1,14583,0,185,180,1,,,,,,
0,5667,2667,180,360,1,,,,,,
0,2699,2785,96,360,1,,,,,,
3,8750,4996,130,360,1,,,,,,
2,4566,0,100,360,1,,,,,,
0,6250,0,128,360,1,,,,,,
0,1836,33837,90,360,1,,,,,,
3,4691,0,100,360,1,,,,,,
2,3083,2168,126,360,1,,,,,,
0,3865,1640,146.41216216216216,360,1,,,,,,
1,12000,0,496,360,1,,,,,,
1,3466,1210,130,360,1,,,,,,
0,3158,3053,89,360,1,,,,,,
0,4467,0,120,360,1,,,,,,
0,3941,2336,134,360,1,,,,,,
0,7333,0,120,360,1,,,,,,
0,4683,1915,185,360,1,,,,,,
0,10833,0,234,360,1,,,,,,
0,3459,0,25,120,1,,,,,,
0,3660,5064,187,360,1,,,,,,
1,6065,2004,250,360,1,,,,,,
0,4695,0,96,360,1,,,,,,
2,8000,0,200,360,1,,,,,,
0,5726,4595,258,360,1,,,,,,
0,1811,1666,54,360,1,,,,,,
0,2366,2531,136,360,1,,,,,,
0,2965,5701,155,60,1,,,,,,
1,2178,0,66,300,0,,,,,,
0,4917,0,130,360,0,,,,,,
0,4583,5625,255,360,1,,,,,,
2,3073,8106,200,360,1,,,,,,
0,2275,2067,146.41216216216216,360,1,,,,,,
0,1442,0,35,360,1,,,,,,
0,1820,1769,95,360,1,,,,,,
0,6950,0,175,180,1,,,,,,
0,5746,0,255,360,1,,,,,,
2,2947,1603,146.41216216216216,360,1,,,,,,
2,3283,2035,148,360,1,,,,,,
2,4009,1717,116,360,1,,,,,,
0,2667,1625,84,360,1,,,,,,
0,6782,0,146.41216216216216,360,1,,,,,,
0,3086,0,120,360,1,,,,,,
2,5819,5000,120,360,1,,,,,,
2,3588,0,110,360,0,,,,,,
0,8750,4167,308,360,1,,,,,,
1,2679,1302,94,360,1,,,,,,
1,3750,0,116,360,1,,,,,,
0,2083,4083,160,360,1,,,,,,
0,2917,536,66,360,1,,,,,,
0,1800,1213,47,360,1,,,,,,
3,3400,2500,123,360,0,,,,,,
0,18165,0,125,360,1,,,,,,
0,3244,0,80,360,1,,,,,,
0,2583,2115,120,360,1,,,,,,
2,2301,985.7999878,78,180,1,,,,,,
0,3000,1666,100,480,0,,,,,,
0,3033,1459,95,360,1,,,,,,
0,16250,0,192,360,0,,,,,,
0,3727,1775,131,360,1,,,,,,
0,6000,0,141,360,1,,,,,,
0,6045,0,115,360,0,,,,,,
0,3087,2210,136,360,0,,,,,,
0,2768,1950,155,360,1,,,,,,
1,8624,0,150,360,1,,,,,,
2,4288,3263,133,180,1,,,,,,
0,4735,0,138,360,1,,,,,,
2,3340,1710,150,360,0,,,,,,
0,4180,2306,182,360,1,,,,,,
1,4283,3000,172,84,1,,,,,,
3,5703,0,130,360,1,,,,,,
3,5167,3167,200,360,1,,,,,,
3,51763,0,700,300,1,,,,,,
0,4188,0,115,180,1,,,,,,
2,3153,1560,134,360,1,,,,,,
3,3850,983,100,360,1,,,,,,
3,3029,0,99,360,1,,,,,,
0,2167,2400,115,360,1,,,,,,
2,4865,5624,208,360,1,,,,,,
0,5821,0,144,360,1,,,,,,
1,4692,0,106,360,1,,,,,,
1,2600,2500,90,360,1,,,,,,
0,4895,0,102,360,1,,,,,,
2,4226,1040,110,360,1,,,,,,
0,6133,3906,324,360,1,,,,,,
1,2491,2054,104,360,1,,,,,,
0,2435,0,75,360,1,,,,,,
0,3069,0,71,480,1,,,,,,
0,4124,0,115,360,1,,,,,,
0,1025,2773,112,360,1,,,,,,
3,9504,0,275,360,1,,,,,,
1,2895,0,95,360,1,,,,,,
0,14999,0,242,360,0,,,,,,
0,2609,3449,165,180,0,,,,,,
1,2653,1500,113,180,0,,,,,,
1,10513,3850,160,180,0,,,,,,
0,2987,0,88,360,0,,,,,,
2,2192,1742,45,360,1,,,,,,
0,4166,0,116,360,0,,,,,,
2,1299,1086,17,120,1,,,,,,
1,6000,0,160,360,1,,,,,,
0,3600,0,80,360,1,,,,,,
0,3691,0,110,360,1,,,,,,
2,5391,0,130,360,1,,,,,,
0,2383,2138,58,360,1,,,,,,
0,150,1800,135,360,1,,,,,,
0,4230,0,112,360,1,,,,,,
2,2500,4600,176,360,1,,,,,,
3,4416,1250,110,360,1,,,,,,
2,3427,0,138,360,1,,,,,,
3,7740,0,128,180,1,,,,,,
2,3859,0,96,360,1,,,,,,
1,8072,240,253,360,1,,,,,,
1,2876,1560,90,360,1,,,,,,
2,4923,0,166,360,0,,,,,,
0,7933,0,275,360,1,,,,,,
0,2755,0,65,300,1,,,,,,
2,6700,1750,230,300,1,,,,,,
1,3052,1030,100,360,1,,,,,,
0,5488,0,125,360,1,,,,,,
1,4583,1508,128,360,1,,,,,,
0,5116,1451,165,360,0,,,,,,
0,3846,0,111,360,1,,,,,,
0,4408,0,120,360,1,,,,,,
3,12500,3000,320,360,1,,,,,,
0,2479,3013,188,360,1,,,,,,
2,5935,0,133,360,1,,,,,,
0,7085,0,84,360,1,,,,,,
0,2500,0,96,480,1,,,,,,
2,6250,5654,188,180,1,,,,,,
0,4160,0,71,360,1,,,,,,
2,8799,0,258,360,0,,,,,,
0,2499,2458,160,360,1,,,,,,
1,2510,1983,140,180,1,,,,,,
0,1853,2840,114,360,1,,,,,,
1,3399,1640,111,180,1,,,,,,
0,3010,3136,146.41216216216216,360,0,,,,,,
0,2620,2223,150,360,1,,,,,,
0,4583,0,112,360,1,,,,,,
0,3232,1950,108,360,1,,,,,,
2,8333,0,246,360,1,,,,,,
2,5780,0,192,360,1,,,,,,
0,3814,1483,124,300,1,,,,,,
2,6250,1300,108,360,1,,,,,,
0,3333,0,70,360,1,,,,,,
0,5923,2054,211,360,1,,,,,,
0,9328,0,188,180,1,,,,,,
2,16525,1014,150,360,1,,,,,,
0,3598,1287,100,360,1,,,,,,
1,8080,2250,180,360,1,,,,,,
2,5532,4648,162,360,1,,,,,,
2,3675,242,108,360,1,,,,,,
0,2583,2167,104,360,1,,,,,,
1,5955,5625,315,360,1,,,,,,
2,5746,0,144,84,1,,,,,,
0,8334,0,160,360,1,,,,,,
0,1863,1041,98,360,1,,,,,,
0,3993,3274,207,360,1,,,,,,
0,12000,0,164,360,1,,,,,,
1,3667,0,113,180,1,,,,,,
0,2253,2033,110,360,1,,,,,,
1,5333,1131,186,360,1,,,,,,
3,3173,0,74,360,1,,,,,,
0,20233,0,480,360,1,,,,,,
0,20166,0,650,480,1,,,,,,
0,1759,3541,131,360,1,,,,,,
2,9323,7873,380,300,1,,,,,,
0,2500,2118,104,360,1,,,,,,
2,4354,0,136,360,1,,,,,,
1,4384,1793,117,360,1,,,,,,
0,3173,3021,137,360,1,,,,,,
3,2947,1664,70,180,0,,,,,,
0,4166,0,44,360,1,,,,,,
0,7660,0,104,360,0,,,,,,
2,1875,1875,97,360,1,,,,,,
2,11417,1126,225,360,1,,,,,,
0,3237,0,30,360,1,,,,,,
0,10047,0,146.41216216216216,240,1,,,,,,
0,13650,0,146.41216216216216,360,1,,,,,,
